count	word
1518370	ich
1048486	sie
833668	das
818483	ist
802813	du
746129	nicht
699610	die
620285	und
594416	es
492429	der
462368	was
451709	wir
378107	zu
378024	er
367786	ein
341467	in
277924	mit
277116	ja
274568	mir
260626	den
254437	wie
247862	auf
246758	mich
228006	so
221929	aber
220849	eine
212495	hier
207893	dass
203203	sind
202713	hat
197643	für
196804	von
195450	haben
191644	dich
184370	war
182851	wenn
173669	an
167283	nein
166628	ihr
163183	da
158946	noch
156063	habe
152529	dir
152144	bin
150658	nur
146728	sich
143104	uns
142463	einen
135254	hast
128362	dem
124811	auch
123038	kann
121937	ihn
121741	jetzt
121345	gut
120934	schon
120640	mal
119558	aus
117300	dann
115485	sein
113403	im
112596	doch
112284	als
112099	meine
109592	um
108325	mein
106497	bist
105963	wird
98282	alles
95049	keine
92279	nach
90589	man
89670	oder
88314	nichts
85198	weiß
83436	wo
80978	werden
79421	will
78565	mehr
77277	ihnen
76693	muss
74942	bitte
74112	etwas
73318	bei
72368	warum
71446	hab
70931	immer
69460	los
68187	vor
67515	oh
66975	wieder
65457	also
64524	sehr
64451	denn
64014	mann
63086	alle
62867	zum
62462	können
62230	sagen
61873	machen
61104	geht
60627	gehen
60167	wer
59992	ihm
59785	danke
59781	komm
59566	euch
59561	sehen
56685	diese
56147	tun
55860	einem
53942	einer
53843	soll
52432	vielleicht
52344	nie
51591	über
51218	deine
50401	weg
50179	des
50008	kein
48732	ihre
48615	wissen
48547	müssen
48346	werde
47487	leben
47198	gibt
47090	viel
46292	am
46214	kommen
45817	kommt
45731	wirklich
43986	frau
43768	willst
43269	heute
42950	dein
42923	hatte
42915	würde
42833	ganz
41523	zeit
41469	wollen
41370	tut
40758	einfach
40598	okay
39754	bis
38825	damit
38642	weil
37850	macht
37487	hallo
37404	kannst
37291	zurück
37131	gesagt
37123	nun
36935	wollte
36678	dieser
36677	wurde
36401	wäre
35979	sicher
35774	weißt
34609	gott
34563	meinen
34550	lassen
34380	zwei
34281	seine
33404	morgen
33114	lass
32804	leid
32439	vater
32392	mr
32349	zur
31914	waren
31689	ab
31268	tag
31232	hätte
30305	genau
29838	schön
29567	geld
29279	liebe
29185	leute
28886	klar
28309	könnte
27943	gesehen
27677	wohl
27484	raus
27443	durch
27124	mach
27042	keinen
27004	sir
26616	sagte
26587	glaube
26444	mutter
26348	unsere
26123	her
25615	reden
25518	besser
25472	jemand
25313	ohne
25149	nacht
25089	gerade
24864	ob
24493	dieses
24426	möchte
24405	gehört
24389	gemacht
24328	musik
24250	hör
24075	selbst
23838	sag
23773	anderen
23770	ach
23745	sollte
23633	geh
23519	weiter
23502	herr
23369	gute
23290	ins
23205	wirst
23127	sei
23125	musst
23101	dort
23045	paar
22951	passiert
22856	lange
22844	diesen
22695	gar
22652	dachte
22609	gleich
22588	guten
22573	meiner
22338	vom
22317	sagt
21926	wieso
21878	natürlich
21806	meinem
21768	geben
21539	mädchen
21017	seit
20950	ordnung
20776	hause
20773	hin
20645	hören
20588	abend
20487	helfen
20426	recht
20289	diesem
20249	finden
20202	angst
20065	freund
19989	sieht
19887	drei
19855	richtig
19745	viele
19722	davon
19654	schnell
19544	welt
19457	deinen
19410	bleiben
19278	dafür
19219	sollen
19036	unser
18920	wegen
18888	haus
18845	machst
18818	warte
18781	darf
18695	unter
18647	tot
18626	menschen
18626	essen
18599	rein
18543	junge
18527	ihren
18420	nehmen
18270	scheiße
18209	kinder
18186	habt
18137	sonst
18086	andere
17879	erst
17817	zusammen
17815	eines
17225	gegen
17046	genug
17040	sollten
16977	ganze
16870	seid
16612	n
16565	denke
16539	bringen
16460	moment
16331	warten
16330	glauben
16236	jahre
16178	steht
16138	halt
16034	einmal
16031	sofort
16009	brauchen
15989	niemand
15934	e
15865	arbeit
15797	heißt
15777	getan
15766	allein
15430	dabei
15351	verdammt
15306	fragen
15301	sprechen
15289	sohn
15088	wann
14928	fertig
14864	lieber
14850	jeder
14777	kind
14724	stimmt
14644	gib
14594	siehst
14499	beim
14459	gern
14416	wahr
14377	halten
14332	jahren
14264	männer
14182	kam
14105	kennen
14055	hatten
14030	komme
13961	bruder
13945	seinen
13899	familie
13884	konnte
13820	sache
13764	bevor
13744	he
13718	warst
13594	hilfe
