count	word
26350329	you
22455236	i
21762232	the
16185227	to
13976469	a
12281541	is
11112359	it
9915586	and
8441968	that
8393266	of
7971346	not
7057223	in
6437355	me
6330407	do
6249528	what
6153686	are
5476727	have
5424705	we
5401673	this
4978746	for
4809843	my
4595773	on
4562386	he
4527572	your
4215871	no
4162270	was
4037860	be
3646984	with
3632287	know
3435805	but
3384779	will
3335496	all
3170015	so
3077491	can
3050077	here
3002259	just
2826094	am
2784375	get
2773759	like
2766454	go
2621846	there
2539346	they
2454336	if
2432583	up
2404457	right
2398596	him
2383113	out
2321114	at
2299631	about
2276715	come
2236416	she
2195484	now
2182160	one
2163770	did
2132436	well
2097300	its
2055792	her
1993568	how
1979942	oh
1916948	want
1848006	got
1759381	see
1741796	good
1712986	think
1699944	yeah
1696723	as
1676804	why
1676557	were
1643997	yes
1637130	from
1585726	his
1570831	who
1452167	when
1443938	going
1385216	time
1360530	an
1340544	back
1333767	would
1318924	take
1302466	us
1299584	them
1289918	look
1240031	okay
1220058	then
1214882	where
1214326	or
1186514	had
1173745	been
1135111	say
1134048	our
1133769	tell
1129658	man
1116946	some
1110442	could
1082711	by
1049409	really
1039350	hey
1037139	gonna
1021679	too
1003805	has
965825	more
959481	something
956632	down
947182	way
932839	need
926553	very
925748	make
908998	never
873923	let
871612	only
846400	over
845319	please
832446	love
828620	lets
825929	give
813428	little
809700	because
805339	people
803542	should
785826	off
778287	ill
771909	said
767433	sorry
762430	two
742267	mean
734375	any
732405	thank
712994	much
704514	even
689107	doing
669162	mr
668811	sure
640246	these
638643	help
634729	thing
634270	sir
630888	first
619598	hes
612384	cant
612105	anything
611836	nothing
602019	day
600058	life
596432	must
595963	into
591270	still
587533	find
581342	again
578618	work
573870	stop
566684	away
562171	god
560369	wait
555032	their
550213	after
547283	home
547140	call
544646	night
544596	talk
544585	before
538336	other
533242	maybe
528708	put
526407	wont
524222	great
522190	than
515133	thought
510102	better
508413	uh
498217	those
495006	last
492944	told
492109	always
488180	long
485699	new
485564	money
484532	things
483528	leave
479325	years
478550	keep
470923	old
468175	everything
458562	id
458423	does
456215	whats
448383	around
432104	name
426416	place
418302	guys
417667	ever
414043	feel
413888	father
409290	made
408580	big
408215	hello
403012	nice
391528	thanks
391107	which
387627	girl
386251	believe
383841	guy
382494	done
381509	house
380386	fine
378988	stay
377540	coming
373954	three
372264	lot
370868	may
369070	left
367349	understand
367079	enough
366369	every
365934	wanted
365393	listen
364274	wrong
364195	course
363100	bad
359658	kind
357253	came
355163	through
354826	happened
354034	hell
353116	ask
352793	mother
351450	hear
348615	remember
348080	someone
347777	being
347214	another
343361	today
341904	world
338986	kill
334360	same
333450	show
333070	own
329588	care
328060	son
323856	might
321080	dead
320477	dad
317789	shes
317690	car
317220	else
315438	try
314018	next
313305	hi
312824	looking
312097	talking
311949	many
307729	mind
307604	found
303071	getting
302128	woman
300888	yourself
298555	went
298018	boy
297339	morning
296231	friend
290183	shit
287865	best
285574	saw
285481	without
285109	together
282960	live
280781	move
280201	miss
278708	room
276971	already
276859	job
275741	real
274772	huh
273273	seen
269367	baby
265009	brother
264933	trying
263614	once
263427	such
262180	fuck
261463	most
260502	happy
259239	family
259136	mom
259048	days
259019	hold
258781	head
257339	ready
256331	men
256049	heard
254341	s
253458	tomorrow
249403	used
249114	matter
249078	called
248573	wife
248276	alone
247633	yet
245674	bring
245376	run
245100	also
244563	wanna
244271	since
243950	knew
242886	start
242761	took
241979	use
241768	meet
241483	idea
241458	while
240525	play
238041	bit
237817	whole
237094	pretty
236981	both
236001	myself
235116	hard
234812	open
234761	tonight
234429	door
233934	fucking
232868	gone
230255	friends
228504	school
227799	actually
227246	gotta
226593	end
226174	guess
224279	year
223824	problem
223100	die
222837	excuse
221221	face
217704	ago
217691	few
217304	turn
216680	killed
216626	lost
